,Review,Departments
4433,not satisfied heavy delivery charges ,Shipping
4434,shoes ok per price packing broke old ,Sales
4435,delivered time packed well quality update month ,"Product Quality, Technical Support"
4436,good quality shipping charges much,"Product Quality, Shipping"
4437,received parcel quality not good color not picture,"Product Quality, Shipping"
4438,original product packing not safe,Product Quality
4439,bad experience seller ,General
4440,displayed pictures air pressure not satisfactory not even clearing dust properly ,General
4441,received product ordered quality shoes not fine price quality acceptable overall satisfied product recommended ,"Product Quality, Shipping, Sales"
4442,cap not displayed pick,General
4443,apparently new pencil compatible pad pro luckily st gen still available online ,General
4444,disappointed charging light not charge remove charge turns ,General
4445,average quality cap broke couple days ,Product Quality
4446,size issue much smaller used past,Technical Support
4447,face product face product face product please not purchase ordered pieces face report account fraud action report lead delete fraud account not purchase immediately return product dark warehouse save money ,"Product Quality, Sales"
4448,packing not good scandal ok normal quality,Product Quality
4449,in disappointed purchase can bought shouting lights dull not shown pictures currently dint picture attach in disappointed purchase store bad service ,"Customer Service, Sales"
4450,ghatiya three product not buy ,"Product Quality, Sales"
4451,media could not loaded bought used one like new not work ,General
4452,bad plastic quality,Product Quality
4453,nothing like picture disappointed,General
4454,lights worked great first two days however two days light strip broke adapted wire lights immediately stopped working disappointed ,General
4455,not leather ,General
4456,fragrance first not understand nor like the no okay,General
4457,nice product ordered products dark send product time is product product not buy bruhhhh ,"Product Quality, Shipping, Sales"
4458,shows much comfortable imagined price range him not bad not shabby taras wasaiyon keep good work ,Sales
4459,lies ,General
4460,really good broke side days,General
4461,not even close picture shown,General
4462,dwyer fine ,General
4463,sent faulty unit tried different cars not work ,"Product Quality, Technical Support"
4464,not like bought mon disappointed stopped working months lucky enough get replacement apple store that reputable store sore not sure amazon would note anything mon quit amazon ,General
4465,not original give static time low volume ,General
4466,really looking forward using pencil regularly year not working elongated paperweight truly disappointed ,Product Quality
4467,selected condition new searching ordering pencil received hard used cracked item instead works not thought paying returning ,"Product Quality, Shipping, Sales"
4468,normal product can give try,Product Quality
4469,not satisfied small size probably less was not red tasted less ordinary nothing disappointment ,General
4470,bag literally size palm small would not not like pictures dirt particles squished ,General
4471,size bit small overall justified price good experience ,Sales
4472,knew purchase little thinner others wanted colors looking find thick ones take long time dry absorbed fast easy wash dry ,"Shipping, Sales"
4473,used good,General
4474,give trash ,General
4475,pencil probably fine drawing casual notes real business note taking awful gimmick joke returned immediately really wanted work wanted like would improved filing organization ,General
4476,product quality bad,Product Quality
4477,ok boss ,General
4478,decent sound quality poor battery timing though ,Product Quality
4479,not order trying clear damage stock delivery made late well delivered damages article disappointed never donna order electronics dark pp,"Shipping, Sales"
4480,reviewing month black color fades time overall works fine,General
4481,good average quality,Product Quality
4482,small gazing,General
4483,bottle received damaged my lost ,"Product Quality, Shipping"
4484,bad experience ,General
4485,product good new pack working not support ,"Customer Service, Product Quality"
4486,ordinary,General
4487,not good waste money applied weeks no result complete waste,General
4488,disappointed hardly gives negative remarks time really much disappointed looking response seller,Customer Service
4489,all scratches ,General
4490,outer unit no gas vendor send technical check c not sanctioning although got unit installed terrible service vendor since check product condition shipping ,"Customer Service, Product Quality, Shipping, Technical Support"
4491,poorly packed damaged bristled,Product Quality
4492,product price good good beginners wheels no barring hard plastic instead ,"Product Quality, Sales"
4493,bad experience sound,General
4494,colour not good good speaker ,General
4495,sticking not good,General
4496,bottles small brush broken intentionally make fit packing brother happy satisfied,Product Quality
4497,color silver no wife available found dr instead using cup giving earth shows supplier checking much inferior quality much afraid using online bad experience,"Customer Service, Product Quality"
4498,size not received,Shipping
4499,want improve quality good price,"Product Quality, Sales"
4500,bad quality airport not work not buy seller fraud bad,"Product Quality, Sales"
4501,mary ribbon weak bag quality good ,Product Quality
4502,described looks good quality also good seller also cooperative good behavior ,"Customer Service, Product Quality"
4503,bad quality mouse pad not buy,"Product Quality, Sales"
4504,wrist support joke,Customer Service
4505,working ok gets hot mind use ,General
4506,good mary selling is per,General
4507,product copy taking bad different colour colour change quality low standards ,Product Quality
4508,not know purchased return refund could go amazon account ,Sales
4509,first thought great price product week day return policy pencil stopped working connecting pad frustration since can get refund return favor order directly apple least offer full year warranty ,"Product Quality, Sales"
4510,received go not looks like cubic feet written cubic feet purchase asked no frost written no frost ,"Shipping, Sales"
4511,not want multi colors video pp mentioned colors product received colors ,"Product Quality, Shipping"
4512,item quality low poor used described no results found face bad item ,Product Quality
4513,bad quality made jersey material free fire written bad leather passed blue in axis not saying bad quality,Product Quality
4514,name product faded works fine though ,Product Quality
4515,quality poor,Product Quality
4516,supplied fast tape instead original flex tape return initiated ,Shipping
4517,price bit high local market ,"Marketing, Sales"
4518,shirts different sized waste money ,General
4519,disappoint one not working ,Product Quality
4520,good price product genuine within expire date tried cherry flavor much better ,"Product Quality, Sales"
4521,ineffective not says,General
4522,small size however case strong protect things kept inside ,General
4523,good sound quality however battery life not long charge quickly microphone causes one problems overall nice product price comes charge cable,"Product Quality, Shipping, Technical Support, Sales"
4524,good shirt loved loose mean sized quite loved ,General
4525,not satisfied not comfortable not shown picture,General
4526,package handling good however guy not stick safety measure like not wearing mask gloves therefore make vanities packages first caution therefore lost value able stars rating,"Shipping, Sales"
4527,got broken glasses wastage money not recommended anyone buy ,"Product Quality, Sales"
4528,alright ,General
4529,overall great status one would expect apple good response like double tap feature charges fast however use texture screen protector draw lot month half tip mine ground wear can see metal since not want buy new tip time getting third party metal ones would like mention dexterity issues result put lot pressure pencils addition pressure sensitive want use feature drawing sometimes press harder sure degraded overall great tip thing really sucks ,"Customer Service, Shipping, Technical Support, Sales"
4530,cheap product,Product Quality
4531, product arrived time packing fantastic led strip perfect length good quality strip controller working fine problem major problem charge got short circuit gazing electricity fine charge could not handle consistent use used hours charge dead overall product good,"Product Quality, Shipping, Technical Support"
4532,packing not good quality better scratches shoes boy packing not good ,Product Quality
4533,rheumatic store not get asked seller making hall earnings bad way disappointed not even replying message shame ,Customer Service
4534,pathetic option,General
4535,sterno earphones not working low quality ,Product Quality
4536,good not used yet smell good,General
4537,buyers know buying shipped china wait wait wait,Sales
4538,not good,General
4539,worst experience ever ,General
4540,cycle received front support iron rod not fit cycle necessary tools not put cycle like plain key lock etc colour not pure please note dark seller check parcel,"Customer Service, Shipping"
4541,donna brutally honest not even near good shown pictures colours dull colours fading shirts red colour doesn even look red much whiteness ordered medium size receiving doesn even looks close medium stitching bad doesn even fits overall condition bad not know everyone giving good reviews no one talking sons comes price range ,Sales
4542,watch nice prefer buy thing their scratch glass bracelets nice ,Sales
4543,first not working cut wire wrongly connected brother figured worked,Product Quality
4544,costly nothing auto ,Sales
4545,totally fraud seller not buy,Sales
4546,product good cheat customers gram less bottle not gram,Product Quality
4547,bad product worse not worth ,Product Quality
4548,ordered total gloves ll received ll medium paid three kindly deliver large one sap wise quality best,"Customer Service, Product Quality, Shipping, Sales"
4549,not working,Product Quality
4550,compatible pad pro according video seen couture paring instructions obscure return purchase st generation,Sales
4551,bad experience received shod shoe can not gathered return chucked garage hard earned money gone waste ,Shipping
4552,received parcel empty no reply upon contracting seller extremely disappointed paid nothing no refund nothing,"Customer Service, Shipping"
4553,glucometer good place lancet device case tight not fit overall product good works fine ,"Product Quality, Technical Support"
4554,think good little hard,General
4555,useless product no battery,Product Quality
4556,ordered black cap also mentioned chat received white colour kiss not wear white,"Shipping, Sales"
4557,small hole backside sang powder safe not wasted seller check sending,Shipping
4558,nice ordered transparent one grey,Sales
4559,product big disappointment ordered new pad coming however along time got pad not used time complex not send back dead spots not work drawing curtis not part tip touches screen get absolutely nothing keep turning pencil till works again frustration expensive ,"Product Quality, Shipping, Sales"
4560,barely heat looking slightly warm pad okay however isn replacement hot water bottle means think seller mention description well,General
4561,not per ordered size,Sales
4562,poor quality stones coming without use ,Product Quality
4563,quality average could better ,Product Quality
4564,face face face ,General
4565,low qualityshow something send something quality not good use one time loose stick disappointed ,"Product Quality, Shipping"
4566,care al final no serve lo para huerta tablet no function en trap buena para dibujar per que sea an carts para que lo function en un en expecico inches be ,Customer Service
4567,item not match picture description,Product Quality
4568,firstly charge changed light goes ,General
4569,used ordered seller not loyal next time not buy axis not ,Sales
4570,sound not clear not impressed product also product open,Product Quality
4571,normal quality not good quality product also available market low price ,"Product Quality, Marketing, Sales"
4572,lights not work useless ,General
4573,ordered yesterday used prime get today everything looked pretty nice official looked inside apple pencil not even bolts screws reason underneath bolts screws little yellow stir not later noticed said designed apple california type return sending replacement still confused happened ,"Customer Service, Shipping, Sales"
4574,skin good quality black not good better overall,Product Quality
4575,not connect phone even could not set date time,General
4576,pen stopped working first time fell normal height desk worked good first hours,General
4577,second order like overall little tight underarms ,Sales
4578,not heat ,General
4579,totally dissatisfied already returned nd got refused amount not thing shown totally useless,General
4580,shown picture order white colour butt received black ,"Shipping, Sales"
4581,expensive terms quality handfree ,Product Quality
4582, highly not recommended seller ,General
4583,received small size good possible change,Shipping
4584,nice remote not work proper long distance ,General
4585,smell bad got vomit not able smell anything waste money health,General
4586,face discount price mentioned,Sales
4587,everything perfect less one charge faulty overall good,"Product Quality, Technical Support"
4588,good price,Sales
4589,quality good size small ,Product Quality
4590,colours really good not send base lamp tell donna make stand ,Shipping
4591,received mind up player good condition seller cooperative shipped quality product shown picture unfortunately due negligence courier services,"Customer Service, Product Quality, Shipping"
4592,products defectuoso,Product Quality
4593,return order size not comfortable place return order thanks,Sales
4594,product quality not mark,Product Quality
4595,not buy bad not work,Sales
4596,correct thumb silicone not getting grip ,General
4597,extra soft not provide proper cleaning,General
4598,box open damage not packed deliver carefully,Customer Service
4599,nice one wire broken maybe shipping something good recommended,"Product Quality, Shipping"
4600,vagrant colours material not cotton non polyester not good summer please mention description much genuine cotton ,Product Quality
4601,pretty useless small not easy open close disappointing,General
4602,not well used different obdii tools one quite expensive gives signals slow short slow frequency data transfer,Shipping
4603,distracting person r ordered send shameless,"Shipping, Sales"
4604,not pure original diluted means mixture not get much hopes result ,General
4605,happy purchase work great great size black wishes wash go color not noticeable wash ,Sales
4606,horrible quality looks like cheap plastic months note can used decoration ,Product Quality
4607,not work broken brought new batteries remote not work suggest not buy light,"Product Quality, Sales"
4608,satisfied product low quality shan h side pa ,Product Quality
4609,call listening conductivity issue airport discontent second need connect bluetooth axis not try airport different cell phone another airport work fine cell phone ,"Customer Service, Technical Support"
4610,not good quality material like local grocer bags not bad price job,"Product Quality, Sales"
4611, st sent low quality pan bent shaped hand can see marks pictures ,Product Quality
4612,good experience axis not picture ,General
4613,product material quality average delivered described otherwise working fine ,Product Quality
4614,ordered brown one delivered fine later purple one delivered immense low quality not company also not working properly want replacement,"Product Quality, Sales"
4615,opinion totally waste money can use loofah instead texture cloth ,General
4616,download multiple software device not working ,"Product Quality, Technical Support"
4617,cheap ,General
4618,not recommended,General
4619,warranty card missing opened mattress cover searched not found anywhere called durafoam said talk dark supplier supplier response also tooooo slow ,"Customer Service, Shipping"
4620,white smell thick paste not applied yet pretty sure thermal paste not looks like ,General
4621,not things seller totally face things damage shame ,General
4622,bad stuff bad quality thin fabric like tissue,"Product Quality, Technical Support"
4623,good need charge ,General
4624,axis not wrong colour sad,General
4625,item looks sturdy enough rather big luggage appropriate small doors chests recommend seller ,Product Quality
4626,second time ordering time not satisfy less came half blue burnt,Sales
4627,quality product cheap poor disability ,Product Quality
4628,small ok recommended ,General
4629,low quality product faulty pus receive left ear mid not working sound also low not recommended ,"Product Quality, Technical Support"
4630,no impact pimples not think work pimples female male skin waste time ask ,General
4631,order broken colour spread package spend rubles his noted nothing ply try bubble wrap things pack deliver safely request,"Product Quality, Shipping, Sales"
4632,fraser his not good glitter poor glitter half bottle disappointed dark,General
4633,please not buy brush care pet literally point hard skin not forget fragile ,"Customer Service, Sales"
4634,received much disappointed ,Shipping
4635,pencil worked fine days would not pair charge connect pad pro not button can rest hard rest pad would not work pencil waste money buy status amazon gives days return ,Sales
4636,light low intensity returned,General
4637,ordered tea tree oil human got totally leaned broken glass bottle oil leaned everywhere inside packing glass broken bad packing never order seller not recommend anyone ,"Product Quality, Sales"
4638,small size good quality ,Product Quality
4639,not good condition,General
4640,quality poor,Product Quality
4641,kiss use poor quality even mask paper used inner covering ,Product Quality
4642,iron non stick soleplate takes heat desired temperature ,General
4643,leaned transportation,General
4644,useful product price still not mud proof think omaha company provide solution ,"Product Quality, Sales"
4645,bad product not working contact customer care not respond seriously total waste money one seller read review kindly contact replace give money back,"Customer Service, Product Quality"
4646,fall clot bought grm constantly falling ears battery can last days per price not bad,Sales
4647,good not expected ,General
4648,shape not good looks old model intact name change model old one,General
4649,worst quality ligament not symmetrical no finishing wells not recommended,Product Quality
4650,connected pencil pad pro says connected write draw not write anything ,General
4651,magnetic quality not good,Product Quality
4652,average quality,Product Quality
4653,sold item stopped work month apple declined warranty can not verify aerial number purchase date lost money ,"Product Quality, Sales"
4654,love apple products usually get amazon apple pencil weeks since got would not work called apple support said no reason not work charging pop would not show amazon sending new one return old one oh ,"Customer Service, Product Quality, Shipping"
4655,first bought apple pencil worked great not use couple weeks can not use documents can use notes pp disappointing ,General
4656,delivery okay design also good easy wear filling demand per description however slippery times smooth thing surface request must made little functional person fell thanks,Shipping
4657,bags good quality also satisfying size bit small overall reviews excellent than seller ,Product Quality
4658,issue bought newest apple pencil mistaken thinking could use pad th gen mislead incompatibility said th gen pad mind quick getting right one exchange paid klan charged exchange credit still paying paying older style pencil really not understand works happy product though worse can seem talk anyone ,"Customer Service, Product Quality, Shipping, Technical Support"
4659,worst quality even charging he become power offer second disappointed ,"Product Quality, Sales"
4660,small size seller must give size detail add ,General
4661,bags great use pathetic zip not work ,General
4662,iron steam burst function tends drip water not position upright ,General
4663,received good packing rabbits eaten not seems like much not sure maybe rabbits giving stars,Shipping
4664,bottle half filled disappointing need refund ,General
4665,seller send broken scratched case shell comb returned irresponsible seller star,"Product Quality, Shipping"
4666,apple pencil great buy refurbished one send packed one apologize not worth getting refurbished ,"Shipping, Sales"
4667,every thing right size not fit foot,General
4668,shame place order trend ultra soft chapel sent useless things ,Sales
4669,best item the budget copy comfortable dandy handy plus good delivery service,"Customer Service, Product Quality, Shipping"
4670,normal not good quality,Product Quality
4671,amazing batteries remote not work ,General
4672,bought gift think fine,General
4673,getting sound consistent sound irritating,General
4674,got not work ,General
4675,not worked hand civic reborn upon plugging engine as lights gear lights started blink remove battery plugs clear seems kind shortage device seems low quality product returned however seller nice person,"Product Quality, Technical Support"
4676,installed inch led bends not heavy duty ,Technical Support
4677,not use damaged skin,Product Quality
4678,quality fine not working ,Product Quality
4679,two three broken waste money vendor can not pack bubble wrap anything protective protect goods sold ,Product Quality
4680,not work not buy,Sales
4681,expensive can not use pad ,General
4682,tibia apple not bother sharing not use pen charge regularly die not able charged amount time can vary months forget not need use amount time basically ridiculously overpriced model pen useless ways disappointing costs much disappointing apple not warn use different battery li ion not problem disappointing apple not replace seriously flaws pens option fix ,"Customer Service, Technical Support, Sales"
4683,can not installed bike side view mirrors also ,Technical Support
4684,product received not working product bad quality recommend not purchase,"Product Quality, Shipping, Sales"
4685,adhesive v low quality lights started falling two days light also dim,Product Quality
4686,got original safeguard soap good dismounted price face issue missing soap dark immediately solve thanks dark take care customers one suggestion dark not send dark mary products ulcer send cardboard box prevent damage ,"Customer Service, Product Quality, Shipping, Technical Support, Sales"
4687,nice product delivery late please dark choose different online delivery companies tis slow give awareness ,"Product Quality, Shipping"
4688,sound quality also not good speakers tiny bass weak ,Product Quality
4689,dropping review using half bottle poor not growth ever greasy not absorb skin,General
4690,creates obnoxious sound every type headphones connect not buy complete piece garage is got refund got keep item still not buy go good sound adapted green reputable brand costly gets job note right ,"Product Quality, Marketing, Sales"
4691,not good think strike self adhesion not good ,General
4692,not buy not small size,Sales
4693,not apple pencil false advertising disappointed amazon would even allow seller blatantly lie people ,Marketing
4694,stuff not shown pick need stuff like stuff cars covers not like car cover,General
4695,pathetic came broken scratches please not order ,"Product Quality, Sales"
4696,advised dark viewer not buy comb foolish product ,"Product Quality, Sales"
4697,bad experience seller ordered airport received two chatting seller no response product quality not good,"Customer Service, Product Quality, Shipping, Sales"
4698,often click like times get response card game not status even feeble pen rubber end works every time rubber ended pen actually works not make sense purpose meant click writeable field expects write no idea writing ,Customer Service
4699,installed theft ac cable complex noted day everyone seller changing company dark responses disappointing days dark also support seller cancel return times never help solve issue disappointing discouraging response dark review awareness ,"Customer Service, Technical Support"
4700,average shampoo,General
4701,ordered g transparent glycerin soap base g milk soap base not received seller send pieces grass milk soap base ,"Shipping, Sales"
4702,bad experience not worked well not recommend buy product,"Product Quality, Sales"
4703,bad quality not satisfied really bad experience colour also dark must say used cleaning floor ,Product Quality
4704,sky price,Sales
4705,definitely not happy ,General
4706,good quality nice item received days later expected date,"Product Quality, Shipping"
4707,delivery not time packing improved finishing shoes not good size color ordered ,"Shipping, Sales"
4708,overall every thing fine product original new look like old manufactured copies turn yellow,Product Quality
4709,delightful package overall experience worst pick different parcel different photo shared seller light weight low class stars overall parcel received time,Shipping
4710,good product sound level not good,Product Quality
4711,quality low single stick not recommended ,Product Quality
4712,really like product helps drawings one downside keeps breaking screen protected every time breaks screen protected gives creek not know supposed like ,"Customer Service, Product Quality"
4713,led strip lights delivered broken really disappointed retailer pin connection not properly connected led strip result ordered refund new working product replace one received today poor first impressions indeed ,"Product Quality, Shipping, Sales"
4714,one foot rubber missing glass door broken movement ,Product Quality
4715,tore apart sunlight his not less days despite claims disability ,General
4716,totally fail tireless bluetooth device,Technical Support
4717,receive bags however written item description pack portable bamboo charcoal bags,Product Quality
4718,v good product satisfied stuff delivery charges is not good ,"Product Quality, Shipping"
4719,lights ok adapted third quality adapted defect minutes use,Product Quality
4720,ok good use battery faulty month charge every use even charge earlier gets dead well overall good product,"Product Quality, Technical Support"
4721,first ordered blue shoe seller send black quality poor poor stuff side shoes already broke not satisfied ,"Product Quality, Shipping, Sales"
4722,average quality product ,Product Quality
4723,fresh ok,General
4724,ordered different underwear shop advertised separately different pictures thought different received underwears bit waste cox wanted see difference between no difference advertised differently not know reason however good seller response good quality items ,"Customer Service, Product Quality, Shipping, Marketing, Sales"
4725,happy product got speakers amazing slightly issue speakers put kind heal lifted shoes heel come speakers walking fix issue otherwise shoes love,"Product Quality, Technical Support"
4726,normal quality product,Product Quality
4727,quality amazing not feel like cheap plastic quality amazing feels good hold hand ,Product Quality
4728,nice shoes little bit colour shoes faced goodshoes,General
4729,overall good deal red blue green colours look good not fan colours way different less show ,Sales
4730,ak dam fool one month chalk pair change nail how ,General
4731,not unto mark ,General
4732,not recommended seller sent defective product can clearly look pictures one port working not also closes automatically poor,"Customer Service, Product Quality"
4733,pick it lasted months hardly,General
4734,little leakage air body,General
4735,ordered golden send black quality better ,"Product Quality, Shipping, Sales"
4736,good quality cloth not good really like delivery services good within three days order delivered ,"Customer Service, Product Quality, Shipping, Sales"
4737,seeing red light device ,Technical Support
4738,not leather belt good price range,Sales
4739,got one egg cooper ordered two ,Sales
4740,good black hole center top shoes not good can see pick point shoes got pressed due much pressed package order can see pick ,"Shipping, Sales"
4741,ok shampoo,General
4742,size wrong ask change request rejected quality also light can acceptable write offer return policy not honour sure not good trader no respect customer sending wrong goods not taking back loss money no one trust ,"Product Quality, Shipping, Sales"
4743,fine price not excellent one sound quality ,"Product Quality, Sales"
4744,item listed new clearly received used apple pencil no plastic wrap inside no shrink wrap package pencil dirty user manual inserted upside crease marks debts product not accurately described listed ,"Product Quality, Shipping, Sales"
4745,connect call game mid get disconnected never transfer sounds headphones could not use game mid streaming use obs useless,Customer Service
4746,not buy package broken product not work,"Product Quality, Shipping, Sales"
4747, packets decomposes poor quality,Product Quality
4748,third class useless waste money ,General
4749,low quality per quality not is neither recommended nor rejected ,Product Quality
4750,ordered black seller promised sent maroon god knows size poor service either not promise something send proper stuff disappointed,"Customer Service, Shipping, Sales"
4751,rest fine quality also fine waist belt not properly stitched even not special machine stitched trouser kind unable ,Product Quality
4752,bad quality not good,Product Quality
4753,stopped working day day return window closed unsatisfied,General
4754,item delivered not per picture picture door metal bars whereas delivered item door plastic,Product Quality
4755,arrived quickly unfortunately not work ,Shipping
4756,exactly good working better bent delivery thank seller,Shipping
4757,not shown picture,General
4758,good pieces type different ,General
4759,good quality stuff sa ak i zip to gap the away sat hi bake good buy ,"Product Quality, Sales"
4760,good battery timing not good also charge not box reasons behind stars fine product amount ,Product Quality
4761,returned product wrong size ,Product Quality
4762,worst sensitive skin worst summer worst oily skin also sticky sunscreen ever used disappointed,General
4763,not worth money expensive compare screen resolution touch sensory ,General
4764,product not described shown seller sent inch length torch almost size cell returned order ,"Product Quality, Sales"
4765,bad delivery wrong size wrong colour,Shipping
4766,according description not working wastage money cheap quality please not buy ,"Product Quality, Sales"
4767,not year cracked blue not external damage bad apple not support type inconvenience,Customer Service
4768,may good not much use co nose inside his not clot within minutes use may mouth products might make difference snoring,Product Quality
4769,good color quantity little bit small size ,General
4770,not mention loud ,General
4771,bare time poor ,General
4772,ordered white out seller sent sultan not shown picture not like product seller not recommend,"Product Quality, Sales"
4773,received order yesterday torn today quality not satisfying ,"Product Quality, Shipping, Sales"
4774,product working okay not much quality ordered not available locally ,"Customer Service, Product Quality, Sales"
4775,big ears volume ver low left side volume almost zero ,General
4776,not paring device wast money ,Technical Support
4777,quality bags poor not unable easily torn due heavy weight things carry ,Product Quality
4778,first thought pretty good purchase sound quality good delivered time however using one month one airport stopped working weeks later happened can buy money buying another pair month ,"Product Quality, Sales"
4779,product fine not pink purple light ,Product Quality
4780,cheap product not work,Product Quality
4781,not received complete order order pack received one pack pay complete amount not received complete order ,"Shipping, Sales"
4782,tape not stick,General
4783,according price fine,Sales
4784,expensive chinese pencil would not pair oh well ,General
4785,not think useful ,General
4786,ok small like years baby,General
4787,colour slightly different ordered pink no june rope vase ,Sales
4788,guess made huge mistake buying though amazon buy two broken first one never worked delivered dead battery returned sap got new one one worked fine two days ago got use two months one day not charging connecting pad no reason already dead couple months charge never got pen fine taking risk getting amazon ,"Product Quality, Technical Support, Sales"
4789,good product according price,"Product Quality, Sales"
4790,bad service everything different given retail rate like given rate is received is no phone number supplier top parcel can contact ,"Customer Service, Shipping, Sales"
4791,satisfied performance actual product different picture shown,Product Quality
4792,working good senior wire short,General
4793,air buds stop working four days air buds quality low,Product Quality
4794,much low quality plastic piece not star glow,Product Quality
4795,not work wast money ,General
4796,ordered first time based reviews packing safe ok not seems imported product packing patch plastic film otherwise ok review axis not using product hope find good results ,"Product Quality, Sales"
4797,dear seller one piece defeated not working,Product Quality
4798,bit overpriced overall fine product,"Product Quality, Sales"
4799,ordered bottles one leak packing good ,Sales
4800,rec wrong article ordered black green lipping disappointed ,Sales
4801,ordered glasses cambridge blue color received grey colored glasses disappointed seller ,"Shipping, Sales"
4802,bought pack handsfree month handsfree stop working handsfree still new not start using highly not recommend,General
4803,not bad size small ,General
4804,head small length good clean litre size bottles also comes hole hanged easily quality wise product good ,Product Quality
4805,not satisfied shoes return ,General
4806,received advertised issue found remote control range remote working point exactly receiver also close receiver ,"Shipping, Technical Support, Marketing"
4807,near average product ,Product Quality
4808,good battery timing not good order battery timing low,Sales
4809,got delivered nd day order quality satisfactory happy received,"Product Quality, Shipping, Sales"
4810,nice headphones opened delivered time best heads price range,Sales
4811,disappointed purchase ordered two dumbells g g sent g dumbly set ,Sales
4812,working not rechargeable volume button damaged really disappointed ,Product Quality
4813,quality good also good look lied one thing noble not metal plastic ,Product Quality
4814,delivered described axis not not deliver single pump items anyway amazing product ,Product Quality
4815,allowed good his notes small bottle glitter less heartbreaking ,General
4816,sticky tape not good fall axis not axis not mirror give extra ones light great,General
4817,mentioned wrong sending cheating costume ,"Shipping, Sales"
4818,not good stuff aware theshiirts not ,General
4819,pen worked fine seems like dead would not charge ,General
4820,french fires large,General
4821,hey guns product good well surely recommend quality good rider also kind deliver time one thing not like rub design chopsticks removed little wash harsh thing easily remove yeah product good recommend ,Product Quality
4822,quality poor colour bleeds specially maroon colour sizes differ colour colour fitting tight ,Product Quality
4823,ordered two remote light button version seller sent lower quality remote one remote buttons not working poor quality product not recommended ,"Product Quality, Sales"
4824,ordered pus received ,"Shipping, Sales"
4825,not good late delivery not like ,Shipping
4826,graphics card not much impressive god price can not purchase expensive it give better fas law issues expected card average bow seller good delivery earlier happy,"Shipping, Technical Support, Sales"
4827,look old think expire waste money ,General
4828,low quality,Product Quality
4829,like small ,General
4830,ran seconds started smoke plastic melting,General
4831,box something dirty box already open seemed already used no film apple pencil waste time not buy ,Sales
4832,using months get job note still hiss by microphone audit output bad well would recommend last resort use since price cheap ,Sales
4833,longevity fragrance extremely disappointing within couple hours scent completely faded away leaving would wondering even applied anything price paid expected fragrance would last throughout day ,"Customer Service, Sales"
4834,unfortunately fragrance trigger galleries moment applied started sneering developed funny nose shame fragrance seemed promising ingredient clearly not suitable sensitive individuals like ,General
4835,bolts not included delivery poor order times got order poor quality his not pull bar ,"Product Quality, Shipping, Sales"
4836,got product ut not working not know remote anything else not working justo ,Product Quality
4837,first time bad experience purchasing products dark flag ship store sent old rate items high price one bottle cut bottom shampoo leads accumulates pack box dark take notice ,"Product Quality, Sales"
4838,much costs work better not work well use finger time works half time,Sales
4839,ordered potatoes draw pp almost spoiled please need refund ,Sales
4840,disappointed outer delivered denied damaged cooling mode set temperature compression keeps running continuously not switch ,Product Quality
4841,easy portable good product also working smell bearable infants recommend not apply directly baby skin,Product Quality
4842,thank much dark also delivery boy give parcel time am not satisfied colour order black colour give white colour,"Shipping, Sales"
4843,plastic quality not good however working fine,Product Quality
4844,purchased mid august worked fine today mid oct pencil would not pair charge anything awesome lasted never seen apple device go bad quickly ,"Shipping, Technical Support, Sales"
4845,potatoes packed good condition received parcel within hours delivery boy good,Shipping
4846,asked seller write name ordered gift someone ruined birthday surprise sent without name also quality not good wasted birthday is much product no proper button open box opening cover magnetic contracted seller returning product not properly respond ,"Product Quality, Sales"
4847,good quality economical price ordered get within time size good not king size quilt are normal size perfect ,"Product Quality, Sales"
4848,not buy pencil buy new pad due star reviews seriously no way justify ,Sales
4849,used shoes nice quality ,Product Quality
4850,paid extra buy he seller send he not responding ,"Customer Service, Shipping, Sales"
4851,asked seller multiple times send big bottle shampoo send small,Shipping
4852,worked stopped worked not good quality ,Product Quality
4853,okay ,General
4854,worst worst worst product please not buy people,"Product Quality, Sales"
4855,bad material used rough ,Product Quality
4856,overall quality good color different picture,Product Quality
4857,seller not sent wrong product even sent product used one scratches dirty really bad experience seller not business actually looting cheating people aware frauds ,Product Quality
4858,one box empty damage pads ,General
4859,disappointed apple pencil buy best buy not apple wanted warn others major defect worked well always haired two months dropped two feet tip broke broke bottom ring wedged base pencil could not removed reported apple said pencil not made withstand drop seriously not drop pencil status time time not replacing pencil can not make something unable ,"Customer Service, Sales"
4860,low quality ,Product Quality
4861,received denied unit ,Shipping
4862,one new product one used worn black bluetooth device quality product bad like spend thousand rubles speaker no sound better wall hands free ha can barely hear anything bad sound quality not buy ,"Product Quality, Technical Support, Sales"
4863,worked week light started flicked not worth money,General
4864,not even worth not even last months regular use,General
4865,seller note proud wrong damaged item sent via tis disappointed,Product Quality
4866,excuse sound quality not last purchased kindly improve order axis not,"Product Quality, Sales"
4867,packing good delivery time music city low sound not clear,Shipping
4868,different color received broken mirror,"Product Quality, Shipping"
4869,product good battery timing low,Product Quality
4870,order ac received different model one model one one c door not original package received full dust open cartoon,"Shipping, Sales"
4871,good that original handfree little expensive well,General
4872,normal price higher,Sales
4873,that like children toys really small,General
4874,ordered multicolor nods delivered black colour nods good bluetooth working sound quality good ,"Product Quality, Sales"
4875,face one sticking like blue lips not recommended ,General
4876,not good oily skin ,General
